MedCodeId	Observations	Term	chronic_kidney_disease_3_to_5
a304071000000115	3000000	Chronic kidney disease stage 3	chronic_kidney_disease_3_to_5
a304091000000116	500000	Chronic kidney disease stage 4	chronic_kidney_disease_3_to_5
a509111010	400000	Chronic renal failure	chronic_kidney_disease_3_to_5
a557811000000119	100000	Chronic kidney disease stage 3A	chronic_kidney_disease_3_to_5
a304111000000114	100000	Chronic kidney disease stage 5	chronic_kidney_disease_3_to_5
a595871000000110	100000	Chronic kidney disease stage 3 without proteinuria	chronic_kidney_disease_3_to_5
a595991000000115	80000	Chronic kidney disease stage 3A without proteinuria	chronic_kidney_disease_3_to_5
a557831000000110	60000	Chronic kidney disease stage 3B	chronic_kidney_disease_3_to_5
a215521000000116	40000	End stage renal disease	chronic_kidney_disease_3_to_5
a595811000000117	30000	Chronic kidney disease stage 3 with proteinuria	chronic_kidney_disease_3_to_5
a596131000000114	30000	Chronic kidney disease stage 3B without proteinuria	chronic_kidney_disease_3_to_5
a1940621000006111	30000	CKD G3aA1 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1	chronic_kidney_disease_3_to_5
a618441000000117	30000	CKD stage 3 without proteinuria	chronic_kidney_disease_3_to_5
a618461000000116	30000	CKD stage 3A without proteinuria	chronic_kidney_disease_3_to_5
a2773184015	20000	Chronic kidney disease stage 3	chronic_kidney_disease_3_to_5
a596191000000110	20000	Chronic kidney disease stage 4 with proteinuria	chronic_kidney_disease_3_to_5
a596261000000111	20000	Chronic kidney disease stage 4 without proteinuria	chronic_kidney_disease_3_to_5
a595931000000116	10000	Chronic kidney disease stage 3A with proteinuria	chronic_kidney_disease_3_to_5
a596051000000115	10000	Chronic kidney disease stage 3B with proteinuria	chronic_kidney_disease_3_to_5
a1940651000006119	10000	CKD G3bA1 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1	chronic_kidney_disease_3_to_5
a618431000000114	10000	CKD stage 3 with proteinuria	chronic_kidney_disease_3_to_5
a618481000000113	10000	CKD stage 3B without proteinuria	chronic_kidney_disease_3_to_5
a618491000000110	9000	CKD stage 4 with proteinuria	chronic_kidney_disease_3_to_5
a480871000006117	8000	Anaemia of chronic renal failure	chronic_kidney_disease_3_to_5
a641471000006117	8000	End stage renal failure	chronic_kidney_disease_3_to_5
a1940631000006114	7000	CKD G3aA2 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2	chronic_kidney_disease_3_to_5
a1940661000006117	6000	CKD G3bA2 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2	chronic_kidney_disease_3_to_5
a618471000000111	6000	CKD stage 3B with proteinuria	chronic_kidney_disease_3_to_5
a618501000000116	6000	CKD stage 4 without proteinuria	chronic_kidney_disease_3_to_5
a596321000000110	5000	Chronic kidney disease stage 5 with proteinuria	chronic_kidney_disease_3_to_5
a618451000000119	5000	CKD stage 3A with proteinuria	chronic_kidney_disease_3_to_5
a354417015	4000	Acute-on-chronic renal failure	chronic_kidney_disease_3_to_5
a454255014	4000	Anaemia secondary to renal failure	chronic_kidney_disease_3_to_5
a2767385013	3000	Chronic kidney disease stage 4	chronic_kidney_disease_3_to_5
a1940671000006112	3000	CKD G3bA3 - chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3	chronic_kidney_disease_3_to_5
a1940511000006116	3000	CKD G4A2 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2	chronic_kidney_disease_3_to_5
a1940521000006112	3000	CKD G4A3 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3	chronic_kidney_disease_3_to_5
a618511000000119	3000	CKD stage 5 with proteinuria	chronic_kidney_disease_3_to_5
a641491000006116	3000	End-stage renal disease	chronic_kidney_disease_3_to_5
a3245871000006111	3000	ESRD - End stage renal disease	chronic_kidney_disease_3_to_5
a773041000006111	3000	Insertion of chronic ambulatory peritoneal dialysis catheter	chronic_kidney_disease_3_to_5
a596401000000111	2000	Chronic kidney disease stage 5 without proteinuria	chronic_kidney_disease_3_to_5
a1940641000006116	2000	CKD G3aA3 - chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3	chronic_kidney_disease_3_to_5
a1940501000006119	2000	CKD G4A1 - chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1	chronic_kidney_disease_3_to_5
a2767154014	1000	Chronic kidney disease stage 5	chronic_kidney_disease_3_to_5
