	medcodeid	observations	term	snomedctconceptid	Typei	Typeii	unknowntype/other
0	a197761014	20000000	Type 2 diabetes mellitus	44054006	0	1	0
1	a264727014	7000000	Diabetic annual review	170777000	0	0	1
2	a1488397014	6000000	O/E - Left diabetic foot at low risk	394675000	0	0	1
3	a1488393013	6000000	O/E - Right diabetic foot at low risk	394671009	0	0	1
4	a264676010	6000000	Diabetic monitoring	170742000	0	0	1
5	a216201011	5000000	Diabetic retinopathy screening	134395001	0	0	1
6	a121589010	5000000	Diabetes mellitus	73211009	0	0	1
7	a285223014	4000000	Seen in diabetic clinic	185229005	0	0	1
8	a264681018	4000000	Diabetic on oral treatment	170746002	0	0	1
9	a616731000006114	4000000	Diabetes monitoring first letter	185756006	0	0	1
10	a404444016	3000000	Haemoglobin A1C - diabetic control interpretation	269823000	0	0	1
11	a1658821000000117	2000000	Diabetic dietary review	7.54E+14	0	0	1
12	a197984010	2000000	Type 1 diabetes mellitus	46635009	1	0	0
13	a264678011	2000000	Follow-up diabetic assessment	170744004	0	0	1
14	a264723013	2000000	Diabetes: practice programme	170774007	0	0	1
15	a2117891000000114	1000000	Diabetes self-management plan agreed	8.12E+14	0	0	1
16	a457231013	1000000	Seen in diabetic eye clinic	313340009	0	0	1
17	a1658901000000118	1000000	Type II diabetic dietary review	7.54E+14	0	1	0
18	a1484886012	1000000	O/E - no left diabetic retinopathy	390853009	0	0	1
19	a21631000000117	1000000	Diabetes monitoring administration	7.14E+14	0	0	1
20	a1484883016	1000000	O/E - no right diabetic retinopathy	390850007	0	0	1
21	a1488403015	1000000	O/E - Left diabetic foot at moderate risk	394681008	0	0	1
22	a264679015	1000000	Diabetic on diet only	170745003	0	1	0
23	a264682013	1000000	Diabetic on insulin	170747006	0	0	1
24	a1488404014	1000000	O/E - Right diabetic foot at moderate risk	394682001	0	0	1
25	a2548271013	1000000	Agreeing on diabetes care plan	703040004	0	0	1
26	a1780286017	900000	Diabetic peripheral neuropathy screening	401081006	0	0	1
