MedCodeId	Observations	Term	SnomedCTConceptId
a338608011	50820093	Smoking cessation advice	b225323000
a108938018	26360292	Cigarette smoker	b65568007
a818061000006111	19937901	Smoking cessation education	b225323000
a503483019	16422310	Current smoker	b77176002
a250373019	4873082	Stopped smoking	b160617001
a700121000006118	3656630	Moderate cigarette smoker (10-19 cigs/day)	b160604004
a743331000006116	3051417	Light cigarette smoker (1-9 cigs/day)	b160603005
a250372012	2605578	Trying to give up smoking	b160616005
a102921000006112	2350991	Tobacco smoking consumption	b266918002
a128130017	2334640	Smoker	b77176002
a250375014	1607033	Rolls own cigarettes	b160619003
a81933100000611	1593037	Heavy cigarette smoker (20-39 cigs/day)	b160605003
a5999811000006115	1527500	Smoking monitoring invitation	b310429001
a1780273014	1392553	Seen by smoking cessation advisor	b401068004
a1489355012	1343427	Referral to smoking cessation advisor	b395700008
a148857801	1284283	Not interested in stopping smoking	b394873005
a1176421000000118	1256461	Smoking cessation advice declined	b527151000000107
a344793011	1137087	Cigarette consumption	b230056004
a459722017	1060897	Referral to stop-smoking clinic	b315232003
a457286014	1027819	Nicotine replacement therapy	b313396002
a1488576014	946542	Thinking about stopping smoking	b394871007
a936011000006114	775378	Advice on effects of smoking on health	b225324006
a137811000006119	747931	Smoking Status	b137811000006103
a88471000006112	708865	Trivial cigarette smoker (less than one cigarette/day)	b266920004
a2265711000000117	641707	Electronic cigarette user	b722499006
a6282331000006114	626795	Tobacco smoking behaviour - finding	b365981007
a1175011000000112	564921	Smoking cessation programme declined	b1087441000000106
a1488577017	558675	Ready to stop smoking	b394872000
a1780396011	555387	Cigarette pack-years	b401201003
a148493301	514365	Negotiated date for cessation of smoking	b390901002
a99639019	454174	Cigar smoker	b59978006
a498831000006118	445227	Attends stop smoking monitoring	b185789006
a2251871000000112	401258	Referral to smoking cessation service declined	b871641000000105
a1709641000000115	368299	Referral for smoking cessation service offered	b767641000000109
a2141561000000115	350727	Smoking cessation drug therapy declined	b822591000000108
a1773560017	322967	Smoking cessation programme start date	b401160008
a1125741000000111	291137	Brief intervention for smoking cessation	b506491000000102
a856371000006111	286707	Smoking clinic	b856371000006107
a136515019	273222	Pipe smoker	b82302008
a492511000000117	260849	Smoking cessation therapy	b710081004
a128381000006117	254916	Stop smoking monitoring check done	b185799001
a1484932017	232535	Smoking cessation milestones	b390900001
a397733018	216432	Occasional smoker	b428041000124106
a21681000000118	210645	Anti-smoking monitoring admin.	b714001000000108
a1662951000000113	209584	Declined consent for follow-up by smoking cessation team	b755741000000100
a62881000000117	206081	DNA - Did not attend smoking cessation clinic	b25261000000107
a1152111000000118	201693	Current smoker annual review	b505651000000103
a137771000006119	198173	Smoking Age Started	b137771000006103
a1484934016	191242	Smoking status at 4 weeks	b390902009
a148887301	164115	Smoking free weeks	b395177003
a482791000000119	162576	Nicotine replacement therapy using nicotine patch	b790121000000107
a128311000006112	162213	Stop smoking monitoring first letter	b185792005
a1750931000000118	161235	Stop smoking service opportunity signposted	b783011000000105
a2669652019	151091	Smoking started	b266929003
a1715591000006117	145143	Referral to National Health Service stop smoking service	b505281000000106
a2251911000000114	139443	Referral to smoking cessation service	b871661000000106
a482771000000118	139124	Smoking cessation drug therapy	b713700008
a2474719011	129400	Minutes from waking to first tobacco consumption	b413173009
a21691000000116	126327	Anti-smoking monitoring administration	b714001000000108
a67621000006112	123277	Very heavy cigarette smoker (40+ cigs/day)	b160606002
a1484937011	110810	Nicotine replacement therapy provided free	b390905006
a904181000006118	109327	Smoking cessation counselling	b904181000006102
a128371000006115	107230	Stop smoking monitoring verbal invite	b185795007
a250368013	95133	Keeps trying to stop smoking	b160612007
a1626100000011	93051	Stop smoking monitoring administration	b714001000000108
a26509201	90983	Pregnancy smoking advice	b171055003
a102951000006115	84489	Tobacco dependence	b89765005
a904011000006114	84028	Smoking cessation declaration signed by patient	b904011000006105
a250387019	81783	Tobacco consumption NOS	b266918002
a852131000006112	78619	Smoking cessation-practice nurse support	b852131000006108
a2717211000000112	77556	Signposting to smoking cessation service	b1084381000000100
a159261100000011	76095	Failed attempt to stop smoking	b446172000
a16581000006111	75579	Other smoking information	b16581000006107
a285792013	74640	Monitoring of smoking cessation therapy refused	b765001003
a736241000000116	69806	Smoking cessation enhanced services administration	b374361000000100
a1662911000000114	62077	Consent given for follow-up by smoking cessation team	b755721000000107
a37311000006117	57845	Other anti-smoking drug given	b37311000006101
a5979551000006114	55748	Smoking monitoring status	b308512009
a216212011	51512	Smoking reduced	b134406006
a344794017	51029	Cigar consumption	b230057008
a1484935015	50436	Smoking status between 4 and 52 weeks	b390903004
a1651711000000113	48706	Consent given for smoking cessation data sharing	b750851000000104
a459524018	47801	Over the counter nicotine replacement therapy	b315055008
a482831000000114	45665	Nicotine replacement therapy using nicotine inhalator	b280811000000104
a25281000000119	45649	Stop smoking clinic administration	b714021000000104
a4939261000006116	45556	Smoking effects education	b225324006
a482871000000111	42901	Other specified smoking cessation therapy	b710081004
a1151791000000117	37872	Recently stopped smoking	b517211000000106
a668811000000117	34733	Mother does not smoke	b438618001
a13499671000006118	34720	Brief intervention for smoking cessation	b771155005
a1563081000000115	33813	Practice based smoking cessation programme start date	b712971000000108
a904091000006116	33690	Date of last cigarette	b904091000006100
a90405100000611	29239	Carbon monoxide validation of smoking status	b904051000006106
a904151000006114	29167	Smoking cessation 4 week F/U completed	b904151000006105
a489931000000114	26077	Smoking cessation therapy NOS	b710081004
a12836100000611	24651	Stop smoking monitoring telephone invite	b185796008
a1780360012	24526	Reason for restarting smoking	b401159003
a2670126018	23804	Smoking restarted	b308438006
a8063181000006116	23339	Wants to stop smoking	b203191000000107
a904121000006117	21810	Carbon monoxide validation confirms smoker	b904121000006101
a90422100000611	20534	Smoking cessation bupropion therapy	b904221000006106
a1123541000000118	19977	Stop smoking face to face follow-up	b505581000000108
a604961000006114	19249	Current Smoker NOS	b604961000006105
a904191000006115	18641	Smoking cessation motivation score	b904191000006104
a482811000000118	18640	Nicotine replacement therapy using nicotine gum	b280801000000101
a909391000006117	18356	[RFC] Smoking cessation	b909391000006101
a1925121000006113	17275	Issue of nicotine replacement therapy voucher	b784481000000108
a904241000006115	17125	Smoking cessation counselling in person	b904241000006104
a854021000006115	16566	Cigarette smoker	b854021000006104
a342443012	16515	Smokes drugs	b228377000
a459484017	16214	Nicotine replacement therapy refused	b315022003
a1626121000006116	16029	Smoking cessation drug therapy - varenicline	b1626121000006100
a482851000000119	15809	Nicotine replacement therapy using nicotine lozenge	b790131000000109
a408878014	15601	Fagerstrom Test for Nicotine Dependence total score	b762991003
a285793015	15378	Stop smoking monitor default	b185791003
a1979491000006115	15027	Smoking cessation follow-up	b1979491000006104
a852121000006114	14774	Smoking cessation-maintain abstinence	b852121000006105
a904071000006117	14260	Smoking cessation 4 week follow up	b904071000006101
a904231000006113	13987	Smoking cessation counselling by telephone	b904231000006109
a128321000006116	13907	Stop smoking monitoring second letter	b185793000
a137791000006118	13665	Smoking restarted	b308438006
a1716141000000117	13058	Lost to smoking cessation follow-up	b768971000000109
a498058100000611	12818	Age at starting smoking	b228488005
a2159962015	12703	Smoking review not indicated	b408398007
a13653481000006112	12607	Nicotine-filled electronic cigarette user	b785889008
a7375991000006118	12262	Smokes tobacco daily	b449868002
a137711000006111	12233	Smoker (Read codes)	b137711000006107
a11904991000006116	11727	Occasional cigarette smoker	b230059006
a4939251000006118	11680	Advice on smoking	b225323000
a2170961000000116	11577	Waterpipe tobacco consumption	b836001000000109
a5003151000006116	11320	Light cigarette smoker	b230060001
a78013015	10215	Smokers' cough	b46802002
a8012751000006116	10057	Did not attend smoking cessation clinic	b25261000000107
a1704491000006115	9618	Smoking cessation enhanced services administration monitoring template completed	b374391000000106
a344795016	9448	Pipe tobacco consumption	b230058003
a137421000006113	9426	Smoke inhalation	b426936004
a923611000006113	8625	Health ed. - smoking	b923611000006109
a832301000006117	8465	Smoke inhalation	b426936004
a8221521000006111	7849	Smoking cessation	b720401000000103
a904201000006117	7604	Smoking cessation confidence score	b904201000006101
a5496021000006114	7115	Tobacco smoking consumption unknown	b266927001
a5003161000006119	6500	Moderate cigarette smoker	b230062009
a13619901000006115	5844	Number of calculated smoking pack years	b782516008
a128331000006118	5442	Stop smoking monitoring third letter	b185794006
a1484936019	5271	Smoking status at 52 weeks	b390904005
a5003171000006114	5102	Heavy cigarette smoker	b230063004
a1653781000000119	5006	Declined consent for smoking cessation data sharing	b751661000000106
a150398019	4917	Nicotine withdrawal	b90755006
a854981000006117	4880	Grade C moderate smoker (11-20/day)	b854981000006101
a854151000006111	4838	Date stopped smoking	b854151000006107
a1708051000000119	4407	Smoking status at 12 weeks	b766931000000106
a904141000006112	4058	Smoking cessation 4 week F/U not completed	b904141000006108
a961581000006114	4007	Smokes/uses tobacco products	b961581000006105
a1488870013	3946	Nicotine replacement therapy contraindicated	b395174005
a85496100000611	3938	Grade B light smoker (1-10/day)	b854961000006106
a13494621000006118	3789	Referral for brief intervention for smoking cessation	b770729006
a15055561000006119	3784	Uses electronic cigarette daily	b35341000087101
a8061901000006111	3783	Attends practice smoking cessation clinic	b201931000000109
a8153371000006117	3746	Occasional tobacco smoker	b428041000124106
a250369017	3520	Admitted tobacco consumption possibly untrue	b160613002
a854071000006119	3410	Current smoker	b854071000006103
a4640171000006113	3301	Pregnancy smoking education	b171055003
a2203381000000113	3095	Smoking cessation 12 week follow-up	b850331000000104
a303501000000115	2895	Smoking cessation advice provided by community pharmacist	b200221000000105
a460828018	2757	Tobacco user	b110483000
a167635100000611	2668	Nicotine replacement therapy using nicotine sublingual tablets	b1676351000006106
a4980561000006117	2607	Time since stopped smoking	b228486009
a246243100000011	2526	Varenicline smoking cessation therapy offered	b966991000000104
a8196151000006112	2491	Smoking cessation leaflet given	b521721000000109
a342444018	2427	Smokes drugs in cigarette form	b228378005
a2982426011	2315	Provision of smoking cessation leaflet	b699033005
a1771191000006119	2235	Attends smoking cessation clinic not at practice	b201941000000100
a904161000006111	2195	Smoking cessation 52 week F/U completed	b904161000006107
a852111000006118	2183	Gradual smoking reduction	b852111000006102
a855001000006114	2004	Grade D heavy smoker (>20 Day)	b855001000006105
a159165100000611	2001	Smoking cessation referral declined	b1591651000006106
a1472605100000611	1898	Nicotine replacement therapy	b151159008
a1694421000006112	1777	Stop smoking monitoring admin.	b714001000000108
a1755201000006117	1688	Consent given for follow-up evaluation after smoking cessation intervention	b750821000000109
a500319100000611	1511	Chain smoker	b230065006
a1825081000006118	1440	Smoking cessation 12 week F/U completed	b1825081000006102
