MedCodeId	Observations	Term	SnomedCTConceptId	
a299673010	100	Hypertensive heart and renal disease with renal failure	194780003	HF
a1822161000006116	1	Heart failure pathway protocol not followed	1.82E+15	HF
a145328019	6000	Chronic rheumatic heart disease	87648004	HF
a299630018	400	Other specified chronic rheumatic heart disease	87648004	HF
a299637015	1000	Chronic rheumatic heart disease NOS	87648004	HF
a299776014	10000	Chronic ischaemic heart disease	413838009	HF
a299800012	300	Other specified chronic ischaemic heart disease	413838009	HF
a299804015	300	Other specified chronic ischaemic heart disease NOS	413838009	HF
a299805019	2000	Other chronic ischaemic heart disease NOS	413838009	HF
a300879015	70	[X]Other forms of chronic ischaemic heart disease	413838009	HF
a371021000006118	300	[X]Chronic rheumatic heart disease	87648004	HF
a8030421000006114	3	Hypertensive heart AND chronic kidney disease stage 4	9.67E+13	HF
a8030431000006112	1	Hypertensive heart AND chronic kidney disease stage 3	9.67E+13	HF
a8030441000006119	1	Hypertensive heart AND chronic kidney disease stage 2	9.67E+13	HF
a8030451000006117	1	Hypertensive heart AND chronic kidney disease stage 1	9.68E+13	HF
a92841017	100000	Left ventricular hypertrophy	55827005	HF
a5836981000006113	2	Left ventricular aneurysm	297160003	HF
a5837001000006115	1	Left ventricular wall aneurysmal	297160003	HF
a5837011000006117	1	LVA - Left ventricular aneurysm	297160003	HF
a3406901000006112	30	LVH - Left ventricular hypertrophy	55827005	HF
a13941041000006112	1	Moderate left ventricular hypertrophy	840304005	HF
a7573191000006115	3	Heart failure with reduced ejection fraction due to myocarditis	703274008	HF
a2616471011	80000	New York Heart Association Classification - Class II	421704003	HF
a2616472016	40000	New York Heart Association Classification - Class III	420913000	HF
a2616473014	3000	New York Heart Association Classification - Class IV	422293003	HF
a18472010	7000	Acute congestive heart failure	10633002	HF
a70653017	700000	Congestive heart failure	42343007	HF
a94251011	4000	Acute heart failure	56675007	HF
a139475013	800000	Heart failure	84114007	HF
a147247018	20000	Chronic congestive heart failure	88805009	HF
a206703015	20000	Right heart failure	128404006	HF
